contribution_id,contribution_code,type,title,date_time,abstract,footnotes,session,session_code,page_number
2,MOA01,Invited Oral Presentation,5 year operation of RIKEN super-conducting linac,"Monday, September 22, 2025 8:30 AM","The RIKEN superconducting heavy-ion linac, so-called SRILAC, has been successfully operating","Funding Agency
I have read and accept the Privacy Policy Statement
Yes
Author: SAKAMOTO, Naruhiko (Nishina Center)
Co-authors: IMAO, Hiroshi (RIKEN Nishina Center) ;KAMIGAITO, Osamu (RIKEN Nishina Cen-
ter);NAGATOMO, Takashi (RIKEN Nishina Center) ;NISHI, Takahiro (RIKEN Nishina Center) ;OZEKI,
Kazutaka (RIKEN Nishina Center) ;SUDA, Kenji (RIKEN Nishina Center) ;UCHIYAMA, Akito (RIKEN
Nishina Center) ;WATANABE, Tamaki (RIKEN Nishina Center) ;WATANABE, Yutaka (RIKEN Nishina
Center) ;YAMADA, Kazunari (RIKEN Nishina Center)
Presenter: SAKAMOTO, Naruhiko (Nishina Center)
Session Classification: Monday Oral Session: A
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 1",Monday Opening and Awards,MOA,2
3,MOP09,Poster Presentation,Dynamics issues and challenges of superconducting,"Monday, September 22, 2025 2:30 PM",triple RF systems in future-synchrotron light sources,"Funding Agency
I have read and accept the Privacy Policy Statement
Yes
Author: HE, Tianlong (University of Science and Technology of China)
Co-authors: XIAO, Jincheng (University of Science and Technology of China) ;LI, Weimin (Univer-
sity of Science and Technology of China)
Presenter: HE, Tianlong (University of Science and Technology of China)
Session Classification: Monday Poster Session
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 2",Monday Poster Session,MOP,3
4,TUP09,Poster Presentation,Point contact tunneling spectroscopy for SRF,"Tuesday, September 23, 2025 2:30 PM",Point Contact Tunneling Spectroscopy (PCTS) is a powerful technique ideal for investigating the,"Funding Agency
Author: CURCI, Ivana (Université Paris-Saclay)
Presenter: CURCI, Ivana (Université Paris-Saclay)
Session Classification: Tuesday Poster Session
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 3",Tuesday Poster Session,TUP,4
5,WEB03,Invited Oral Presentation,Oxygen vacancies in niobium pentoxide as a source,"Wednesday, September 24, 2025 11:40 AM",of two-level system losses in superconducting,"Funding Agency
U.S. Department of Energy, Office of Science, National Quantum Information Science Research
Centers, Superconducting Quantum Materials and Systems Center (SQMS) under Contract No.
DE-AC02-07CH11359.
Author: BAFIA, Daniel (Fermi National Accelerator Laboratory)
Co-authors: MURTHY, Akshay (Fermi National Accelerator Laboratory) ;ROMANENKO, Alexan-
der (Fermi National Accelerator Laboratory) ;GRASSELLINO, Anna (Fermi National Accelerator Labo-
ratory)
Presenter: BAFIA, Daniel (Fermi National Accelerator Laboratory)
Session Classification: Wednesday Oral Session: B
Track Classification: MC2: Fundamental SRF research and development
September 29, 2025 Page 4",Wednesday Oral Session B,WEB,5
6,THP25,Poster Presentation,Cold spray additive manufactured copper as,"Thursday, September 25, 2025 2:30 PM",substrate for thin film-SRF cavities,"Funding Agency
Author: MOTSCHMANN, Fritz (Commissariat à l’Energie Atomique)
Co-authors: BAUDOUY, Bertrand (Commissariat à l’Energie Atomique) ;VERDY, Christophe (Uni-
versité de technologie de belfort-montbéliard) ;EOZÉNOU, Fabien (Commissariat à l’Energie Atom-
ique);PROSLIER, Thomas (Université Paris-Saclay)
Presenter: MOTSCHMANN, Fritz (Commissariat à l’Energie Atomique)
Session Classification: Thursday Poster Session
Track Classification: MC3: Cavities
September 29, 2025 Page 5",Thursday Poster Session,THP,6
7,MOB06,Invited Oral Presentation,5 years of SPIRAL2 LINAC operation: cryogenic and,"Monday, September 22, 2025 12:40 PM",superconducting RF aspects,"Funding Agency
Author: ABURAS, Muhammad (Grand Accélérateur Nat. d’Ions Lourds)
Co-authors: Dr GHRIBI, Adnan (Grand Accélérateur Nat. d’Ions Lourds) ;Mr DI GIACOMO, Marco
(Grand Accélérateur Nat. d’Ions Lourds) ;BERNAUDIN, Pierre-Emmanuel (Grand Accélérateur Nat.
d’Ions Lourds) ;LASSALLE, Charly (GANIL; Université de Caen Normandie)
Presenter: ABURAS, Muhammad (Grand Accélérateur Nat. d’Ions Lourds)
Session Classification: Monday Oral Session: B
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 6",Monday Oral Session B,MOB,7
8,MOB05,Invited Oral Presentation,Commissioning of the first HElmholtz LInear,"Monday, September 22, 2025 12:20 PM",ACcelerators (HELIAC) cryomodule with heavy ion,"Funding Agency
Author: MISKI-OGLU, Maksym (GSI Helmholtz Centre for Heavy Ion Research)
Co-authors: DZIUBA, Florian Dirk (Helmholtz Institute Mainz) ;LIST, Julian (Helmholtz Institute
Mainz) ;LAUBER, Simon (Helmholtz Institute Mainz) ;KUERZEDER, Thorsten (GSI Helmholtz Centre
for Heavy Ion Research) ;BARTH, Winfried (GSI Helmholtz Centre for Heavy Ion Research) ;YARAMY-
SHEV, Stepan (GSI Helmholtz Centre for Heavy Ion Research) ;GETTMANN, Viktor (GSI Helmholtz
Centre for Heavy Ion Research) ;SCHEELER, Uwe (GSI Helmholtz Centre for Heavy Ion Research) ;VOR-
MANN, Hartmut (GSI Helmholtz Centre for Heavy Ion Research)
Presenter: MISKI-OGLU, Maksym (GSI Helmholtz Centre for Heavy Ion Research)
Session Classification: Monday Oral Session: B
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 7",Monday Oral Session B,MOB,8
9,TUA02,Invited Oral Presentation,The path to high duty cycle at European XFEL:,"Tuesday, September 23, 2025 8:50 AM",cryomodule developments,"Funding Agency
Author: BARBANOTTI, Serena (Deutsches Elektronen-Synchrotron DESY)
Co-authors: BRANLARD, Julien (Deutsches Elektronen-Synchrotron DESY) ;JENSCH, Kay (Deutsches
Elektronen-Synchrotron DESY) ;KOSTIN, Denis (Deutsches Elektronen-Synchrotron DESY) ;RESCHKE,
Detlef (Deutsches Elektronen-Synchrotron DESY) ;SCHNAUTZ, Tobias (Deutsches Elektronen-Syn-
chrotron DESY) ;STEDER, Lea (Deutsches Elektronen-Synchrotron DESY) ;WALKER, Nicholas (Deutsches
Elektronen-Synchrotron DESY) ;WEISE, Hans (Deutsches Elektronen-Synchrotron DESY)
Presenter: BARBANOTTI, Serena (Deutsches Elektronen-Synchrotron DESY)
Session Classification: Tuesday Oral Session: A
Track Classification: MC1: SRF Facilities
September 29, 2025 Page 8",Tuesday Oral Session A,TUA,9
10,TUB04,Invited Oral Presentation,Plasma electrolytic polishing of 1.3 GHz cavities,"Tuesday, September 23, 2025 12:00 PM",The performance of superconducting radio frequency (SRF) cavities is critically influenced by sur-,"Funding Agency
Work supported by the PNRR MUR project PE0000023-NQSTI.
Project“SRF cavities R&D for FCC-ee ”has been sponsored in the framework of INFN Accelerators
European Strategy Program.
Author: CHYHYRYNETS, Eduard (Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Leg-
naro)
Co-authors: EZEABA, Tochukwu Emmanuel (University of Padua) ;CARLOS, Carlota (European
Organization for Nuclear Research) ;FORD, Davide (Istituto Nazionale di Fisica Nucleare) ;FONNESU,
Dorothea (Istituto Nazionale di Fisica Nucleare) ;STIVANELLO, Fabrizio (Istituto Nazionale di Fisica Nu-
cleare) ;KEPPEL, Giorgio (Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Legnaro) ;ROSAZ,
Guillaume (European Organization for Nuclear Research) ;ARAKI, Hayato (High Energy Accelerator
Research Organization) ;YAMANAKA, Masashi (High Energy Accelerator Research Organization) ;Dr
LAZZARI, Matteo (Istituto Nazionale di Fisica Nucleare, Laboratori Nazionali di Legnaro) ;AZZOLINI,
Oscar (Istituto Nazionale di Fisica Nucleare) ;PIRA, Cristian (Istituto Nazionale di Fisica Nucleare)
September 29, 2025 Page 9",Tuesday Oral Session B,TUB,10
11,FRB05,Invited Oral Presentation,Detection of high-f gravitational waves using SRF,"Friday, September 26, 2025 12:20 PM","Today, apart from some isolated R&D efforts, there are no GW experiments, yet which explore a","Funding Agency
Authors: WENSKAT, Marc (Universität Hamburg) ;GIACCONE, Bianca (Fermi National Accelerator
Laboratory)
Co-authors: BRANLARD, Julien (Deutsches Elektronen-Synchrotron DESY) ;CHOUHAN, Vijay
(Fermi National Accelerator Laboratory) ;DOKUYUCU, Can (Deutsches Elektronen-Synchrotron DESY) ;FIS-
CHER, Lars (Universität Hamburg) ;GONIN, Ivan (Fermi National Accelerator Laboratory) ;GRAS-
SELLINO, Anna (Fermi National Accelerator Laboratory) ;HILLERT, Wolfgang (Universität Hamburg) ;KHABI-
BOULLINE, Timergali (Fermi National Accelerator Laboratory) ;KROKOTSCH, Tom (Universität Ham-
burg) ;Dr LUDWIG, Frank (Deutsches Elektronen-Synchrotron DESY) ;MARCONATO, Giovanni (Uni-
versität Hamburg) ;MELNYCHUK, Alex (Fermi National Accelerator Laboratory) ;MOORTGAT-PICK,
Gudrid (Universität Hamburg) ;MUHS, Andrea (Deutsches Elektronen-Synchrotron DESY) ;NETE-
PENKO, Alex (Fermi National Accelerator Laboratory) ;ORLOV, Yuriy (Fermi National Accelerator
September 29, 2025 Page 11",Friday Oral Session B,FRB,12
